query,_id,total_purchases,add_to_cart_count,total_click_count,one_day_revenue,three_day_revenue,five_day_revenue
3/4 black length dress,91348308_0,81,100,105,93.4,140.1,1891.35
3/4 black sequin dress,74354798_0,40,51,54,442.26,442.26,842.4
3/4 blue dress length,90988561_0,22,121,149,261.6,479.6,479.6
3/4 blue length dress,90988561_0,24,39,75,43.6,305.2,523.2
3/4 blue length dress,91353831_0,18,32,143,65.68,295.56,295.56
3/4 blue petites dress,89940603_0,8,47,177,176.0,176.0,176.0
3/4 brown printed dress,91339306_0,95,128,178,1658.88,1945.6,1945.6
3/4 dress black length,88805681_0,20,111,154,168.4,202.08,336.8
3/4 dress black length,91137058_0,79,156,199,1762.8,1785.4,1785.4
3/4 dress blue length,90988561_0,43,127,146,523.2,523.2,937.4
3/4 dress blue length,91353831_0,10,47,136,164.2,164.2,164.2
3/4 dress blue sleeve,91377306_0,80,140,163,369.55,1556.0,1556.0
3/4 dress gray length,91057734_0,40,113,143,534.72,891.2,891.2
3/4 dress green women,91347235_0,13,26,175,213.9,278.07,278.07
3/4 dress length black,88529611_0,80,109,160,919.41,1290.4,1290.4
3/4 dress length multicolor,91289153_0,173,115,159,1424.6,1424.6,2899.48
3/4 dress length purple,90686656_0,9,27,81,97.0,97.0,218.25
3/4 dress length white,91372463_0,38,40,115,310.65,555.9,621.3
3/4 dress multicolor length,91341489_0,30,144,195,256.2,512.4,512.4
3/4 dress multicolor length,91386607_1,27,62,96,649.35,649.35,649.35
3/4 dress red length,91050275_0,41,77,142,811.8,811.8,811.8
3/4 dress sleeve purple,91008306_0,15,109,135,78.35,172.37,235.05
3/4 dress tunic sleeve,89620074_0,41,86,94,660.92,660.92,660.92
3/4 embroidered dress eyelet,89408371_0,25,56,58,478.75,478.75,478.75
3/4 front dress sleeve,91066348_0,15,51,88,199.76,199.76,272.4
3/4 gray dress length,90664711_0,6,45,91,45.21,60.28,90.42
3/4 illusion black petite,89537625_0,9,129,170,178.08,200.34,200.34
3/4 jacquard black sleeve,91427844_0,5,24,54,105.65,105.65,105.65
3/4 keyhole neck beaded,91126633_0,22,35,172,364.98,382.36,382.36
3/4 lace asymmetrical shift,89458242_0,24,36,131,260.27,260.27,367.44
3/4 lace beige jacket,89490739_0,17,80,80,271.83,271.83,271.83
3/4 length black dress,88805681_0,21,27,136,235.76,235.76,353.64
3/4 length dress black,91168056_0,71,150,165,891.0,1437.75,1437.75
3/4 length dress blue,91399115_0,27,66,302,56.61,452.88,509.49
3/4 length dress multicolor,91249896_0,14,20,53,136.35,136.35,212.1
3/4 length dress multicolor,91386607_1,44,52,195,144.3,432.9,1058.2
3/4 length dress white,91372463_0,10,49,64,98.1,98.1,163.5
3/4 length gray dress,91057734_0,8,73,109,111.4,111.4,178.24
3/4 length gray dress,91379402_0,16,65,66,48.68,121.7,389.44
3/4 length multicolor dress,91327531_0,24,60,66,461.04,461.04,461.04
3/4 length purple dress,90686656_0,82,152,178,751.75,1697.5,1988.5
3/4 pink dress length,91109331_0,43,59,65,220.36,456.46,676.82
3/4 purple sleeve dress,91008306_0,23,48,57,94.02,360.41,360.41
3/4 run red tights,88462561_0,11,40,79,85.04,233.86,233.86
3/4 sheath blue beaded,90984737_0,17,36,116,385.22,385.22,385.22
3/4 sleeve beige floral,88737507_0,8,152,174,32.1,64.2,128.4
3/4 sleeve black cover-up,66069548_0,16,38,119,248.48,248.48,248.48
3/4 sleeve tunic cover-up,66069548_0,28,55,134,388.25,388.25,434.84
3/4 tight pro black,87986179_0,6,51,57,30.12,90.36,90.36
3/4 women dress jacquard,91347235_0,10,62,199,85.56,213.9,213.9
3/4 wrap front dress,91041106_0,16,25,162,55.17,147.12,294.24
3/4-sleeve black cocktail dress,91333782_0,46,142,166,250.74,823.86,823.86
3/4-sleeve black dress faux-suede,91302509_0,62,82,168,567.0,1004.4,1004.4
3/4-sleeve black dress floral-print,91379290_0,35,40,92,517.88,517.88,823.9
3/4-sleeve black dress sheath,89834658_0,58,124,168,950.11,950.11,1124.62
3/4-sleeve blue floral-print kimono,90829249_0,23,22,196,214.0,214.0,492.2
3/4-sleeve blue metallic trench,90686197_0,16,51,114,89.56,358.24,358.24
3/4-sleeve blue ruched sheath,87857649_0,35,103,180,84.28,737.45,737.45
3/4-sleeve dress cocktail purple,88640890_0,46,66,160,427.5,1035.0,1035.0
3/4-sleeve dress floral-print black,91379290_0,10,60,79,235.4,235.4,235.4
3/4-sleeve dress ponte pink,88295174_0,22,36,173,141.93,252.32,346.94
3/4-sleeve embroidered dress shift,90752373_0,14,81,156,131.53,225.48,263.06
3/4-sleeve floral-print black dress,91379290_0,36,79,81,258.94,517.88,847.44
3/4-sleeve gown blue trench,90686197_0,32,115,146,179.12,223.9,716.48
3/4-sleeve gown metallic blue,90686197_0,21,85,87,425.41,425.41,470.19
3/4-sleeve gray delaney dress,88238248_0,16,127,145,113.9,364.48,364.48
3/4-sleeve red sheath dress,90964233_0,52,88,191,619.58,619.58,1239.16
3/4-sleeve ruched blue sheath,87857649_0,11,35,52,126.42,189.63,231.77
3/4-sleeve trench gown metallic,90686197_0,30,54,78,223.9,268.68,671.7
33 capri skinnylicious mid,87985650_0,8,47,67,177.2,177.2,177.2
3d dress applique mini,89929529_0,30,99,132,462.66,630.9,630.9
3d dress applique pink,90390307_0,48,115,121,561.34,561.34,792.48
3d mini applique dress,89929529_0,82,123,130,1093.56,1724.46,1724.46
3d mini pink salon,89929529_0,28,34,154,588.84,588.84,588.84
3d shift red dress,89897267_0,6,27,53,0.0,111.84,111.84
7/8 stretch trousers gray,89822335_0,51,97,171,554.9,554.9,912.9
? black trouser casual,88556212_1,14,24,157,172.56,172.56,301.98
a blue twill women's,91283410_0,12,89,171,83.36,83.36,250.08
a blue women's scalloped,91285282_0,21,68,90,444.6,518.7,518.7
a dress green,90189684_0,79,197,200,1596.18,1596.18,1704.03
a dress mini gauze,90194276_0,30,82,128,151.83,421.75,506.1
a dress navy only,89966790_0,61,83,86,1460.95,1460.95,1460.95
a line dress origami,89444160_0,23,91,176,371.36,371.36,388.24
a more mini orange,90194276_0,21,30,58,67.48,354.27,354.27
a pants green lyocell,90643393_0,18,42,145,378.9,378.9,378.9
a party diamond like,91257929_0,10,80,164,68.25,227.5,227.5
a party white dress,91257929_0,32,130,153,341.25,341.25,728.0
a red scalloped women's,91394373_0,26,68,102,339.92,339.92,631.28
a than mini more,90601566_0,50,76,109,818.22,1049.0,1049.0
a twill blue women's,91326413_0,47,62,68,731.64,731.64,881.72
a women's blue twill,91326413_0,32,92,128,150.08,150.08,600.32
a women's scalloped red,91394373_0,10,44,149,48.56,169.96,242.8
a women's twill blue,91283410_0,25,39,111,375.12,375.12,521.0
a you dress pinstripe,91036457_0,9,50,60,39.42,157.68,177.39
a-line a.l.c. dress black,91369584_0,118,177,291,1907.81,1907.81,2103.94
a-line abstract black print,90428258_0,32,100,162,193.6,193.6,774.4
a-line abstract dress black,90428258_0,70,88,93,1016.4,1016.4,1694.0
a-line abstract dress print,90428258_0,45,79,178,24.2,1089.0,1089.0
a-line abstract-print gray dress,89071573_0,20,20,190,230.01,230.01,418.2
a-line beaded black dress,91259585_0,33,64,81,102.2,367.92,674.52
a-line beige dress seamed,59904672_0,20,109,120,426.78,426.78,474.2
a-line beige jacket dress,89459481_0,12,57,123,221.8,266.16,266.16
a-line beige lace dress,89813129_0,56,69,94,1071.28,1071.28,1071.28
a-line beige seamed dress,59904672_0,16,36,65,308.23,379.36,379.36
a-line bi-stretch blue dress,90551425_0,97,114,193,529.92,960.48,1606.32
a-line black crepe cut-out,91398347_0,42,144,149,375.44,454.48,829.92
a-line black crepe dress,79178679_0,4,34,122,32.8,32.8,65.6
a-line black dress,91263852_0,5,32,78,72.56,72.56,90.7
a-line black dress,91279860_0,9,29,67,40.1,40.1,180.45
a-line black dress,91280227_0,8,42,69,73.92,73.92,147.84
a-line black dress,91280768_0,17,51,61,99.05,336.77,336.77
a-line black dress,91307575_0,36,120,222,472.77,630.36,630.36
a-line black dress &,90918756_0,73,123,193,931.81,996.82,1581.91
a-line black dress corduroy,91314290_0,5,36,75,50.97,84.95,84.95
a-line black dress lace,91069403_0,50,136,285,939.74,1013.93,1236.5
a-line black dress laser,91259445_0,8,28,97,43.22,151.27,172.88
a-line black dress print,90428258_0,62,108,108,121.0,242.0,1500.4
a-line black dress ruched,69931049_0,12,55,74,130.62,261.24,261.24
a-line black empire-waist long-sleeve,91251623_0,12,94,119,255.96,255.96,255.96
a-line black jacket lace,89491802_0,36,58,151,294.97,816.84,816.84
a-line black knit dress,91296728_0,8,48,136,86.25,138.0,138.0
a-line black lace dress,91069403_0,29,39,75,173.11,717.17,717.17
a-line black linen silk-blend,90918756_0,12,36,69,260.04,260.04,260.04
a-line black nic+zoe dress,90924768_0,9,26,82,79.48,178.83,178.83
a-line black pleated stripe,79236496_0,8,50,196,140.8,140.8,140.8
a-line black short-sleeve dress,91318876_0,9,34,140,165.68,186.39,186.39
a-line black shoulder off,91425691_0,18,42,175,276.12,276.12,276.12
a-line blue dress,85380680_0,55,61,115,1177.0,1177.0,1177.0
a-line blue dress,90628477_0,9,36,76,102.7,164.32,184.86
a-line blue dress,90790965_0,9,29,96,54.21,108.42,162.63
a-line blue dress,90820335_0,60,144,187,1283.13,1404.18,1452.6
a-line blue dress,90998028_0,18,52,79,42.88,42.88,385.92
a-line blue dress,91186531_0,21,42,161,236.88,236.88,414.54
a-line blue dress,91200298_0,88,248,340,1614.8,1614.8,1614.8
a-line blue dress,91248355_0,50,117,127,642.0,802.5,802.5
a-line blue dress,91312477_0,30,143,159,719.7,719.7,719.7
a-line blue dress,91356749_0,92,135,193,2150.04,2150.04,2150.04
a-line blue dress,91361313_0,13,50,75,153.72,153.72,222.04
a-line blue dress,91363429_0,44,80,103,983.59,1007.58,1055.56
a-line blue dress cutout,89050005_0,16,73,195,304.96,304.96,304.96
a-line blue dress denim,91373371_0,91,121,177,1552.68,1552.68,1859.13
a-line blue lace-trim dress,91286271_0,19,45,119,150.4,150.4,357.2
a-line blue leather dress,83918270_0,36,128,157,696.6,696.6,696.6
a-line blue maxi pulitzer,91006603_0,18,70,155,251.46,251.46,411.48
a-line blue seamed dress,70672234_0,37,77,126,433.62,891.33,891.33
a-line brown dress belted,67980568_0,27,49,50,383.04,544.32,544.32
a-line brushed gray dress,91235485_0,20,44,57,247.5,450.0,450.0
a-line cap-sleeve dress pink,88765454_0,26,85,94,622.7,622.7,622.7
a-line chiffon dress floral,89673788_0,42,48,196,314.0,314.0,659.4
a-line chiffon floral dress,88413869_0,51,40,79,575.64,575.64,815.49
a-line chiffon multicolor print,89673788_0,16,75,155,157.0,204.1,251.2
a-line claudia embroidered dress,90939807_0,32,122,178,0.0,666.88,666.88
a-line cold dress shoulder,89870689_0,19,37,118,231.3,231.3,439.47
a-line crepe black mackenzie,90634751_0,28,57,80,280.5,280.5,523.6
a-line crepe dress black,79178679_0,11,57,67,147.6,180.4,180.4
a-line crepe purple dress,66604700_0,16,107,167,159.3,283.2,283.2
a-line cut blue dress,91245391_0,50,80,115,41.24,845.42,1031.0
a-line deep plunge petite,91253998_0,10,40,80,193.5,193.5,193.5
a-line denim blue dress,91408494_0,17,52,70,202.77,202.77,383.01
a-line dress a.l.c. black,91247764_0,57,78,200,901.2,901.2,1284.21
a-line dress abstract black,90428258_0,33,41,83,363.0,798.6,798.6
a-line dress beige seamed,59904672_0,18,31,69,426.78,426.78,426.78
a-line dress belted abstract,67980568_0,24,76,172,80.64,483.84,483.84
a-line dress black,91000387_0,8,50,86,17.78,71.12,142.24
a-line dress black,91279860_0,22,62,169,441.1,441.1,441.1
a-line dress black,91280768_0,10,142,163,158.48,158.48,198.1
a-line dress black,91288606_0,9,55,60,176.49,176.49,176.49
a-line dress black print,90428258_0,51,114,120,798.6,798.6,1234.2
a-line dress black silk-trim,91424807_0,34,59,165,600.78,600.78,600.78
a-line dress black stripe,91296728_0,40,63,76,517.5,517.5,690.0
a-line dress black wool-blend,91356666_0,3,62,126,0.0,0.0,69.75
a-line dress blue,90040615_0,55,94,166,810.48,1013.1,1013.1
a-line dress blue,90820335_0,108,166,331,290.52,871.56,2614.68
a-line dress blue,90959409_0,38,113,193,236.18,539.84,641.06
a-line dress blue,90998028_0,20,96,232,192.96,407.36,428.8
a-line dress blue,91248355_0,55,119,208,112.35,690.15,882.75
a-line dress blue,91311395_0,14,22,74,0.0,0.0,258.44
a-line dress blue,91363429_0,33,64,210,647.73,791.67,791.67
a-line dress blue bead,90069558_0,9,26,174,189.18,189.18,189.18
a-line dress blue cutout,89050005_0,38,52,73,724.28,724.28,724.28
a-line dress blue denim,91373371_0,12,22,78,204.3,245.16,245.16
a-line dress blue floral,87749976_0,65,108,149,593.28,1021.76,1071.2
a-line dress blue reversible,90641111_0,98,105,190,879.84,1658.16,1658.16
a-line dress blue seamed,70672234_0,13,93,115,192.72,192.72,313.17
a-line dress blue silk,91313413_0,6,61,194,75.84,113.76,113.76
a-line dress blue sleeve,91230573_0,11,76,194,189.99,211.1,232.21
a-line dress blue surplice,91317116_0,9,61,145,74.49,99.32,223.47
a-line dress blue women's,88316403_0,66,97,211,1318.65,1363.35,1475.1
a-line dress bodice green,91118675_0,14,41,93,249.6,249.6,268.8
a-line dress bonded gray,91356037_0,13,51,92,192.3,192.3,249.99
a-line dress cap-sleeve pink,88765454_0,176,147,152,3305.1,3305.1,4215.2
a-line dress claudia embroidered,90939807_0,18,24,135,375.12,375.12,375.12
a-line dress crepe black,90634751_0,67,79,137,168.3,1252.9,1252.9
a-line dress drape black,91422042_0,20,52,150,187.74,187.74,417.2
a-line dress floral blue,87749976_0,58,122,152,131.84,560.32,955.84
a-line dress floral sateen,89487507_0,16,45,97,282.88,348.16,348.16
a-line dress floral tiered,90451365_0,25,102,125,442.75,442.75,442.75
a-line dress gray,91421759_0,29,83,138,415.31,708.47,708.47
a-line dress gray abstract-print,89071573_0,76,226,312,1589.16,1589.16,1589.16
a-line dress green,91284131_0,38,84,186,49.88,947.72,947.72
a-line dress jacket gray,89449594_0,12,44,68,176.88,192.96,192.96
a-line dress jacquard cutout,75279804_0,18,30,156,64.32,64.32,289.44
a-line dress jersey purple,90553210_0,17,63,71,352.24,352.24,352.24
a-line dress lace black,89491802_0,38,41,55,862.22,862.22,862.22
a-line dress lace blue,91285964_0,51,76,94,60.08,465.62,766.02
a-line dress lace multicolor,91346564_0,79,114,131,1891.26,1891.26,1891.26
a-line dress lace white,90786759_0,5,38,73,0.0,24.44,122.2
a-line dress laser black,91259445_0,24,36,57,367.37,367.37,518.64
a-line dress leather blue,91411549_0,45,61,84,524.94,908.55,908.55
a-line dress mock purple,89452705_1,47,117,121,69.4,485.8,815.45
a-line dress multicolor,90818119_0,91,219,369,449.28,599.04,2271.36
a-line dress multicolor,90997219_0,75,64,107,862.0,862.0,1616.25
a-line dress multicolor,91290615_0,24,98,136,405.12,405.12,405.12
a-line dress multicolor,91332275_0,70,66,117,963.36,963.36,1404.9
a-line dress multicolor,91353085_0,11,142,165,113.05,203.49,248.71
a-line dress multicolor floral,89673788_0,28,55,113,392.5,439.6,439.6
a-line dress multicolor ruffled,91310094_0,44,78,82,339.12,828.96,828.96
a-line dress multicolor short-sleeve,89685337_0,36,108,129,84.12,757.08,757.08
a-line dress multicolor sleeveless,91301463_0,42,105,175,466.56,483.84,725.76
a-line dress natural,91284537_0,25,155,172,241.6,241.6,377.5
a-line dress natural frills,91308872_0,56,80,141,1051.1,1051.1,1279.6
a-line dress neck cutout,91155835_0,15,91,122,141.24,329.56,353.1
a-line dress neck plunge,91427393_0,124,141,160,1663.2,1663.2,2083.2
a-line dress pink,91187157_0,2,91,180,0.0,42.36,42.36
a-line dress pink,91280433_0,69,259,597,649.3,724.8,1041.9
a-line dress pink,91306835_0,19,57,126,348.27,348.27,348.27
a-line dress plus tie-neck,91069359_0,36,50,71,594.36,594.36,594.36
a-line dress print abstract,55570793_0,10,47,158,178.4,178.4,178.4
a-line dress print multicolor,89673788_0,10,76,79,47.1,157.0,157.0
a-line dress red,89639319_0,18,77,133,421.2,421.2,421.2
a-line dress red,90121016_0,8,40,85,18.32,54.96,146.56
a-line dress red,90973852_0,31,51,90,342.56,663.71,663.71
a-line dress red,91314137_0,44,125,144,304.8,365.76,894.08
a-line dress red,91356056_0,7,38,66,20.16,141.12,141.12
a-line dress red,91420947_0,16,42,167,122.52,326.72,326.72
a-line dress red mock-neck,91164754_0,16,21,138,258.08,258.08,258.08
a-line dress ruffled multicolor,91310094_0,32,75,146,508.68,508.68,602.88
a-line dress scuba petite,90811408_0,18,21,105,192.8,192.8,433.8
a-line dress short-sleeve black,91318876_0,21,43,198,41.42,434.91,434.91
a-line dress silk green,91118675_0,14,49,60,268.8,268.8,268.8
a-line dress silk-trim black,91424807_0,99,133,144,194.37,600.78,1749.33
a-line dress sleeveless multicolor,91301463_0,70,93,117,276.48,276.48,1209.6
a-line dress stretch blue,90534219_0,22,62,123,252.24,462.44,462.44
a-line dress stripe pleated,79236496_0,8,20,88,88.0,140.8,140.8
a-line dress tie-front corduroy,91314290_0,29,98,135,339.8,492.71,492.71
a-line dress tiered black,90451365_0,12,52,75,177.1,177.1,212.52
a-line dress tiered floral,90451365_0,18,28,93,0.0,318.78,318.78
a-line dress white,90744029_0,55,163,245,254.04,1122.01,1164.35
a-line dress white,90975249_0,36,141,187,446.8,804.24,804.24
a-line dress white,91188913_0,18,39,118,120.54,120.54,361.62
a-line dress white,91282016_0,75,98,173,491.13,491.13,1364.25
a-line dress white,91312701_0,20,39,76,23.48,46.96,469.6
a-line dress white asymmetrical,91120959_0,38,77,193,929.86,929.86,929.86
a-line dress white lace,88916555_0,29,38,99,462.84,479.37,479.37
a-line dress white lace,91313482_0,32,51,64,323.7,323.7,796.8
a-line dress women's black,91427482_0,33,47,77,421.2,421.2,579.15
a-line dress zip pique,91070331_0,29,40,64,459.16,459.16,512.14
a-line embellished sheath neck,89537582_0,52,133,189,118.08,610.08,1023.36
a-line floral collared print,90882549_0,12,27,74,54.12,216.48,216.48
a-line floral dress pink,86971389_0,18,37,69,156.96,353.16,353.16
a-line floral sateen dress,89487507_0,55,238,267,979.2,979.2,1196.8
a-line frills dress natural,91308872_0,21,27,159,0.0,479.85,479.85
a-line front black drape,91422042_0,16,21,97,166.88,166.88,333.76
a-line front drape dress,91422042_0,16,22,67,292.04,292.04,333.76
a-line gray dress,91165843_0,67,155,217,592.96,1204.45,1241.51
a-line gray jacket dress,89449594_0,15,156,181,16.08,241.2,241.2
a-line gray linen dress,91282069_0,31,55,100,118.15,732.53,732.53
a-line green dress,90792222_0,42,56,164,845.88,845.88,845.88
a-line green dress bodice,91118675_0,55,103,107,345.6,345.6,1056.0
a-line green dress seamed,51727804_0,22,29,85,520.08,520.08,520.08
a-line green tie-neck dress,91069359_0,29,112,118,99.06,99.06,478.79
a-line inset leather blue,83918270_0,13,28,158,212.85,251.55,251.55
a-line jacket beige dress,89459481_0,25,29,147,266.16,554.5,554.5
a-line lace beige dress,89459481_0,6,89,111,133.08,133.08,133.08
a-line lace crochet dress,91346564_0,15,106,109,239.4,239.4,359.1
a-line lace dress floral,87930182_0,41,37,59,601.5,601.5,986.46
a-line lace dress petite,91069173_0,52,115,115,1037.4,1037.4,1037.4
a-line lace dress white,70216268_0,14,116,181,196.6,275.24,275.24
a-line lace dress white,91313482_0,20,62,145,149.4,373.5,498.0
a-line lace jacket black,89491802_0,7,37,200,0.0,158.83,158.83
a-line lace jacket gray,89449594_0,9,24,75,80.4,80.4,144.72
a-line lace pink dress,90460181_0,47,73,157,642.32,642.32,973.84
a-line lace red dress,91387971_0,16,71,74,16.85,67.4,269.6
a-line leather dress blue,91411549_0,56,89,128,464.37,1029.69,1130.64
a-line linen gray dress,91282069_0,32,59,123,543.49,756.16,756.16
a-line long-sleeve lace skirt,91000515_0,55,100,123,633.65,1201.75,1201.75
a-line midi silk-blend black,90416032_0,40,120,139,366.48,814.4,814.4
a-line mini dress blue,90885991_0,23,57,94,500.22,500.22,547.86
a-line mini scalloped dress,89147148_0,45,123,137,512.2,886.5,886.5
a-line multicolor dress,90818119_0,69,142,216,374.4,1722.24,1722.24
a-line multicolor dress,91332275_0,42,77,163,802.8,802.8,842.94
a-line multicolor dress,91364161_0,109,135,367,1931.1,2331.45,2566.95
a-line multicolor dress ribbed,91288136_0,14,49,64,283.22,283.22,283.22
a-line multicolor dress sleeveless,91301463_0,10,29,95,103.68,103.68,172.8
a-line multicolor dresses dress,89490477_0,64,91,105,902.7,902.7,979.2
a-line multicolor maxi dress,89490477_0,39,49,151,76.5,596.7,596.7
a-line multicolor nandita embellished,90822964_0,104,120,120,686.71,686.71,1660.88
a-line multicolor neck belted,91155835_0,147,193,199,2165.68,2989.58,3460.38
a-line multicolor sleeveless dress,91301463_0,20,46,66,138.24,345.6,345.6
a-line multicolor trimmed dress,91412342_0,14,30,73,205.68,239.96,239.96
a-line multicolor trimmed lace,91412342_0,55,112,196,942.7,942.7,942.7
a-line natural dress frills,91308872_0,45,100,112,571.25,845.45,1028.25
a-line orange dress,75722305_0,12,50,58,86.12,258.36,258.36
a-line petite silver jacket,89466560_0,32,92,107,558.08,558.08,558.08
a-line pink dress,91280433_0,23,31,91,302.0,347.3,347.3
a-line pink dress,91315611_0,17,24,60,268.44,268.44,380.29
a-line pink dress scarlet,83336065_0,37,57,155,910.94,910.94,910.94
a-line pink dress trendy,88294754_0,31,135,143,416.64,416.64,538.16
a-line pique brushed gray,91235485_0,21,46,99,337.5,472.5,472.5
a-line pleated dress plus,87827627_0,26,47,171,255.2,414.7,414.7
a-line print abstract multicolor,55570793_0,22,36,160,160.56,392.48,392.48
a-line printed white mini,79916668_0,9,66,89,108.7,108.7,195.66
a-line purple crepe dress,66604700_0,9,22,51,159.3,159.3,159.3
a-line red cold-shoulder dress,89715752_0,22,105,170,161.64,161.64,395.12
a-line red dress,89928482_0,48,75,262,559.3,767.04,767.04
a-line red dress,90121016_0,163,163,415,1630.48,1667.12,2986.16
a-line red dress,91314137_0,35,52,195,284.48,325.12,711.2
a-line red dress,91356056_0,17,104,105,342.72,342.72,342.72
a-line red dress sleeveless,91411305_0,15,31,108,280.32,280.32,350.4
a-line red lace dress,91387971_0,16,70,104,0.0,269.6,269.6
a-line rickie dress multicolor,91279979_0,59,89,96,397.28,397.28,1464.97
a-line rickie freeman dress,91279979_0,53,146,156,24.83,1315.99,1315.99
a-line rickie freeman multicolor,91280046_0,41,44,68,643.16,643.16,941.77
a-line sateen floral dress,89487507_0,18,43,163,348.16,391.68,391.68
a-line scalloped dress white,90577081_0,27,62,142,32.52,439.02,439.02
a-line scuba button-front dress,90692917_0,64,93,193,1125.0,1125.0,1440.0
a-line seamed dress blue,87878418_0,66,90,136,34.24,633.44,1129.92
a-line sheath neck embellished,89537582_0,34,80,144,413.28,669.12,669.12
a-line short-sleeve black dress,91318876_0,19,22,54,331.36,331.36,393.49
a-line shoulder woven off,91149569_0,74,130,151,429.8,1135.9,1135.9
a-line silk bodice dress,91118675_0,54,167,181,787.2,787.2,1036.8
a-line silk-trim dress black,91424807_0,51,148,169,742.14,901.17,901.17
a-line size plus dress,88418022_0,49,56,84,723.24,723.24,984.41
a-line size plus purple,91074612_0,65,91,138,224.12,1120.6,1120.6
a-line size trendy dress,88294754_0,96,82,142,885.36,885.36,1666.56
a-line sleeve cap dress,91230573_0,20,33,134,211.1,211.1,422.2
a-line sleeve dress blue,91230573_0,19,24,70,274.43,274.43,401.09
a-line sleeveless dress red,91411305_0,43,107,158,1004.48,1004.48,1004.48
a-line tie dye maxi,88996713_0,28,124,130,147.18,588.72,686.84
a-line tie-front white dress,91315398_0,16,69,80,45.96,45.96,245.12
a-line tiered floral dress,90451365_0,22,59,127,318.78,389.62,389.62
a-line tweed multicolor metallic,90999459_0,37,112,114,709.29,709.29,709.29
a-line white crepe dress,89051751_0,51,58,176,872.5,889.95,889.95
a-line white dress,90637571_0,16,29,51,331.2,331.2,331.2
a-line white dress,90788240_0,24,30,188,0.0,255.2,382.8
a-line white dress,91282016_0,67,154,325,145.52,1055.02,1218.73
a-line white dress tie-front,91315398_0,71,114,117,536.2,1087.72,1087.72
a-line white rose dress,90596080_0,36,37,77,352.48,352.48,793.08
a-line wool-blend dress black,91356666_0,26,154,159,23.25,604.5,604.5
a-line woven blue shoulder,91149569_0,25,37,172,383.75,383.75,383.75
a-line woven dress shoulder,91149569_0,33,77,105,30.7,506.55,506.55
a-line yellow bi-stretch dress,91386504_0,30,47,106,643.2,643.2,643.2
